,ESTU_CONSECUTIVO,ESTU_GRADO,ESTU_GENERO,COLE_NOM_ESTABLECIMIENTO,COLE_COD_ICFES,COLE_NATURALEZA,COLE_CALENDARIO,COLE_JORNADA,COLE_COD_MCPIO,COLE_NOM_MCPIO,COLE_COD_DPTO,COLE_NOM_DPTO,EXA_MODALIDAD,EXA_N_RTAS_CORR_CN,EXA_N_RTAS_CORR_CC,EXA_N_RTAS_CORR_LC,EXA_N_RTAS_CORR_MT
16956,1293582,6,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,2,4,4,12
16957,1293585,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,4,3,9,6
16958,1293586,6,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,7,4,6,7
16959,1293597,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,4,2,6,5
16960,1294168,9,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,7,4,12,4
16961,1294178,10,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,12,8,0
16962,1294180,10,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,7,9,7,0
16963,1294185,11,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,12,9,6,5
16964,1294191,10,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,7,8,0
16965,1294193,9,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,2,5,10,6
16966,1294194,10,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,9,8,7,0
16967,1294216,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,6,6,5
16968,1294221,6,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,7,5,8
16969,1294471,9,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,4,7,11,8
16970,1294488,7,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,9,7,13,7
16971,1294490,11,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,16,11,9,4
16972,1294506,6,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,7,3,6,5
16973,1294509,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,7,7,11
16975,1295013,10,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,12,6,0
16976,1295019,10,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,11,11,8,0
16977,1295025,10,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,9,7,6,0
16978,1295027,9,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,5,8,4
16979,1295031,10,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,5,7,5,0
16980,1295032,9,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,4,12,2
16981,1295053,8,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,7,11,13,10
16982,1295297,8,M,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,6,10,7,9
16983,1295304,9,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,4,7,5,6
16984,1295307,4,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,0,9,6
16985,1295319,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,7,12,6
16986,1295331,6,F,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,O,A,COMPLETA,99001,PUERTO CARREÑO,99,VICHADA,PA,0,4,8,4
